Transaction time,Type,Transaction object,Amount (RMB)
2025/2/28 20:08,Catering,Roast duck shop,гд451.00
2025/2/28 17:02,Living,Beijing All-in-One Card,гд20.00
2025/2/28 16:53,Catering,Nail meatloaf,гд10.00
2025/2/26 16:36,Living,Yiran,гд63.00
2025/2/26 16:35,Shopping,Wumart,гд12.00
2025/2/25 20:21,Living,Glenn,гд50.00
2025/2/24 19:28,Living,BUPT,гд200.00
2025/2/24 18:27,Catering,BUPT,гд16.00
2025/2/24 11:45,Catering,BUPT,гд13.00
2025/2/24 11:27,Living,Saike,гд50.00
2025/2/23 19:20,Catering,BUPT,гд15.00
2025/2/23 13:42,Living,Jiachen,гд279.00
2025/2/21 6:43,Catering,Beef broth,гд10.00
2025/2/20 11:57,Living,Xiaodan,гд0.40
2025/2/17 12:59,Catering,Kitoka food store,гд25.00
2025/2/16 17:11,Shopping,Anjia Fruit Company,гд4.00
2025/2/15 12:43,Catering,Lo mein,гд13.90
2025/2/14 8:45,Catering,Beef broth,гд10.00
2025/2/13 12:56,Catering,Lee Kee Wonton House,гд15.50
2025/2/10 16:13,Catering,Missa Ice City,гд13.00
2025/2/10 8:44,Catering,Xiaojie Tianfu ,гд6.00
2025/2/9 20:15,Living,Yitian,гд39.00
2025/2/9 20:14,Living,Jiayin,гд23.15
2025/2/9 20:14,Living,Jiayin,гд41.17
2025/2/9 12:25,Catering,Chekai food store,гд8.00
2025/2/2 16:40,Entertainment,Tencent,гд15.00
2025/2/1 8:40,Income,ICBC,"гд8,000"
2025/1/31 18:51,Catering,Missa Ice City,гд14.00
2025/1/28 19:57,Living,Jiachen,гд8.88
2025/1/27 18:15,Living,Jiachen,гд225.00
2025/1/27 17:21,Shopping,Shangwen Department Store,гд2.00
2025/1/27 9:52,Catering,Beef broth,гд10.00
2025/1/22 12:45,Catering,Chekai food store,гд26.00
2025/1/21 22:47,Living,MaiMemo,гд25.00
2025/1/21 9:39,Catering,Tofu soup,гд7.00
2025/1/17 19:24,Living,Smart Charging Platform,гд3.00
2025/1/16 12:40,Shopping,Aviation restaurant supermarket,гд3.00
2025/1/16 8:33,Catering,Beef broth,гд15.00
2025/1/15 17:31,Living,CRNET,гд37.00
2025/1/15 16:40,Living,Beijing All-in-One Card,гд10.00
2025/1/15 16:39,Living,Beijing All-in-One Card,гд20.00
2025/1/14 12:55,Catering,Jinguyuan Dumpling,гд8.00
2025/1/14 12:27,Catering,Jinguyuan Dumpling,гд80.00
2025/1/11 18:56,Catering,Jinlaishun,гд6.00
2025/1/11 18:42,Catering,Jinlaishun,гд30.00
2025/1/11 16:06,Living,Glenn,гд35.00
2025/1/11 13:58,Catering,Jianggutou,гд26.00
2025/1/10 19:04,Living,Jiachen,гд291.00
2025/1/8 18:57,Living,Jiachen,гд57.00
2025/1/5 18:21,Catering,Canteen,гд138.00
2025/1/4 11:38,Living,BUPT,гд200.00
2025/1/2 16:56,Entertainment,Tencent,гд15.00
2025/1/1 8:40,Income,ICBC,"гд8,000"
2024/12/31 18:30,Catering,Boshiju,гд10.00
2024/12/31 18:12,Catering,Boshiju,гд62.00
2024/12/26 14:16,Living,Glenn,гд35.00
2024/12/24 19:32,Living,BUPT,гд200.00
2024/12/24 18:14,Catering,BUPT,гд13.00
2024/12/17 16:26,Living,Jiachen,гд14.50
2024/12/17 16:26,Living,Jiachen,гд42.00
2024/12/17 16:26,Living,Jiachen,гд44.41
2024/12/17 16:26,Living,Jiachen,гд43.50
2024/12/17 16:25,Living,Jiachen,гд11.08
2024/12/17 16:25,Living,Jiachen,гд187.00
2024/12/17 16:25,Living,Jiachen,гд18.15
2024/12/17 16:25,Living,Jiachen,гд4.95
2024/12/17 16:25,Living,Photo studio,гд15.00
2024/12/17 10:33,Living,Xiaodan,гд0.40
2024/12/16 16:17,Catering,Luckin coffee,гд12.00
2024/12/15 20:14,Living,BUPT,гд12.00
2024/12/15 12:44,Living,Jiachen,гд21.00
2024/12/14 13:02,Shopping,Wezheng,гд0.15
2024/12/13 20:31,Living,Glenn,гд35.00
2024/12/11 12:56,Living,BUPT,гд200.00
2024/12/11 12:05,Catering,BUPT,гд9.50
2024/12/10 22:07,Shopping,DMALL,гд5.20
2024/12/10 18:47,Shopping,DMALL,гд9.90
2024/12/7 19:08,Shopping,DMALL,гд13.80
2024/12/7 13:13,Shopping,DMALL,гд1.50
2024/12/7 12:15,Shopping,DMALL,гд6.00
2024/12/7 0:13,Shopping,JD,гд147.40
2024/12/6 18:19,Catering,Jinguyuan Dumpling,гд24.00
2024/12/4 18:41,Catering,BUPT,гд13.00
2024/12/4 18:30,Shopping,Wumart,гд7.00
2024/12/4 12:04,Shopping,DMALL,гд9.90
2024/12/4 11:36,Catering,BUPT,гд15.80
2024/12/4 9:04,Catering,BUPT,гд6.50
2024/12/3 19:10,Shopping,Fruit shop,гд3.00
2024/12/3 18:19,Shopping,Wumart,гд7.00
2024/12/2 18:51,Entertainment,Tencent,гд15.00
2024/12/2 18:48,Living,Jiachen,гд32.00
2024/12/2 18:48,Living,Jiachen,гд46.50
2024/12/2 18:48,Living,Jiachen,гд15.85
2024/12/2 12:18,Shopping,Fruit shop,гд1.90
2024/12/1 19:25,Living,BUPT,гд200.00
2024/12/1 19:22,Catering,BUPT,гд14.00
2024/12/1 10:33,Catering,Meituan,гд69.78
2024/12/1 8:40,Income,ICBC,"гд8,000"
