Transaction time,Type,Transaction object,Amount (RMB)
2024/6/1 23:45,Catering,Meituan,гд17.60
2024/6/1 17:11,Shopping,DMALL,гд1.50
2024/6/1 15:50,Living,Jiachen,гд83.00
2024/6/1 8:40,Income,ICBC,"гд8,000"
2024/5/31 18:32,Catering,BUPT,гд16.00
2024/5/30 17:11,Entertainment,Tencent,гд15.00
2024/5/30 11:56,Catering,BUPT,гд3.00
2024/5/30 11:53,Catering,BUPT,гд17.00
2024/5/29 22:23,Catering,Meituan,гд26.50
2024/5/29 17:33,Shopping,DMALL,гд4.90
2024/5/29 10:42,Catering,Meituan,гд142.50
2024/5/28 23:16,Shopping,Fruit shop,гд12.00
2024/5/28 19:49,Shopping,Wumart,гд6.40
2024/5/28 19:00,Living,SF Express,гд19.80
2024/5/27 21:00,Living,Beijing All-in-One Card,гд20.00
2024/5/27 11:46,Shopping,DMALL,гд3.80
2024/5/27 11:20,Catering,BUPT,гд13.60
2024/5/26 22:09,Living,Beijing All-in-One Card,гд20.00
2024/5/26 21:42,Catering,Chalet barbecue,гд344.80
2024/5/24 22:03,Shopping,DMALL,гд10.90
2024/5/24 16:01,Shopping,DMALL,гд8.50
2024/5/24 12:13,Shopping,DMALL,гд4.90
2024/5/23 18:39,Shopping,Fruit shop,гд9.40
2024/5/23 12:14,Living,BUPT,гд200.00
2024/5/23 12:09,Catering,BUPT,гд12.60
2024/5/22 23:23,Shopping,Fruit shop,гд12.00
2024/5/22 18:00,Shopping,DMALL,гд3.00
2024/5/22 13:42,Catering,BUPT,гд3.00
2024/5/22 13:42,Catering,BUPT,гд15.00
2024/5/21 13:05,Entertainment,Fahai Temple,гд320.00
2024/5/21 11:44,Shopping,DMALL,гд14.90
2024/5/19 16:10,Living,Gzz,гд40.00
2024/5/18 19:08,Shopping,Fruit shop,гд11.00
2024/5/17 18:37,Shopping,Fruit shop,гд7.00
2024/5/15 18:25,Living,BUPT,гд200.00
2024/5/14 21:18,Living,Weizhen,гд2.70
2024/5/11 23:00,Shopping,DMALL,гд8.50
2024/5/11 16:46,Shopping,DMALL,гд1.99
2024/5/9 15:58,Catering,Yueshijia,гд503.00
2024/5/8 16:29,Shopping,DMALL,гд17.90
2024/5/8 12:26,Shopping,DMALL,гд4.90
2024/5/7 23:17,Shopping,DMALL,гд23.70
2024/5/7 14:10,Living,BUPT,гд200.00
2024/5/7 14:10,Living,Yihui,гд9.00
2024/5/6 23:16,Catering,Hutiujun pancakes,гд9.00
2024/5/5 21:40,Living,Jiachen,гд176.00
2024/5/5 12:03,Catering,BUPT,гд18.00
2024/5/5 11:58,Catering,BUPT,гд2.00
2024/5/4 21:57,Living,Yihui,гд127.00
2024/5/3 21:28,Living,Jiachen,гд202.00
2024/5/3 17:47,Shopping,Shiao,гд6.00
2024/5/3 16:16,Living,Beijing All-in-One Card,гд20.00
2024/5/3 9:48,Catering,BUPT,гд4.50
2024/5/2 19:28,Catering,BUPT,гд2.00
2024/5/2 19:22,Catering,BUPT,гд14.00
2024/5/2 15:49,Shopping,JD,гд35.50
2024/5/1 8:40,Income,ICBC,"гд8,000"
2024/4/30 23:29,Shopping,Fruit shop,гд3.90
2024/4/30 23:27,Shopping,DMALL,гд6.50
2024/4/29 17:29,Entertainment,Tencent,гд15.00
2024/4/28 17:47,Shopping,DMALL,гд1.00
2024/4/25 12:43,Living,BUPT,гд200.00
2024/4/25 12:42,Catering,BUPT,гд11.00
2024/4/24 22:35,Entertainment,Xiaohongshu,гд0.10
2024/4/24 22:31,Entertainment,Xiaohongshu,гд1.00
2024/4/24 19:15,Catering,Jiangutou,гд26.00
2024/4/24 13:01,Shopping,DMALL,гд7.50
2024/4/24 12:38,Catering,BUPT,гд12.00
2024/4/23 11:53,Catering,McDonald's,гд13.90
2024/4/22 13:56,Shopping,DMALL,гд3.00
2024/4/21 17:03,Entertainment,YC,гд135.00
2024/4/21 15:38,Living,Mingxin,гд6.66
