Transaction time,Type,Transaction object,Amount (RMB)
2024/2/28 22:47,Shopping,DMALL,гд17.90
2024/2/27 22:41,Shopping,DMALL,гд3.80
2024/2/27 22:36,Living,Yiran,гд126.00
2024/2/27 19:58,Living,Yiran,гд50.00
2024/2/27 16:48,Entertainment,Tencent,гд15.00
2024/2/27 7:53,Shopping,DMALL,гд3.80
2024/2/26 18:50,Shopping,DMALL,гд7.99
2024/2/26 18:23,Living,BUPT,"гд2,000.00"
2024/2/25 19:54,Catering,Meituan,гд25.88
2024/2/25 9:31,Shopping,Luodazhong,гд10.00
2024/2/23 19:20,Living,Yiran,гд25.00
2024/2/20 21:02,Living,Yitian,гд55.00
2024/2/20 14:03,Shopping,Zhonghuang,гд2.00
2024/2/19 11:59,Living,Yitian,гд18.00
2024/2/17 17:26,Catering,Rice Peel,гд8.00
2024/2/15 21:44,Shopping,PDD,гд5.30
2024/2/15 20:02,Living,Mingxin,гд37.75
2024/2/15 19:13,Catering,Meituan,гд21.56
2024/2/14 22:27,Shopping,Haina Zhixing,гд29.99
2024/2/13 19:03,Catering,Meituan,гд20.00
2024/2/12 11:56,Catering,Meituan,гд38.00
2024/2/10 0:08,Living,Red packets,гд12.00
2024/2/9 20:10,Living,Mingxin,гд9.99
2024/2/9 18:47,Living,Mingxin,гд0.01
2024/2/7 16:01,Catering,Meituan,гд39.76
2024/2/6 11:50,Catering,Noodles,гд3.00
2024/2/1 8:50,Income,ICBC,"гд8,000.00"
2024/1/30 14:56,Shopping,Yigancheng,гд19.80
2024/1/30 14:34,Catering,Meituan,гд17.40
2024/1/29 21:45,Living,Yitian,гд43.00
2024/1/29 20:09,Entertainment,Shizijie,гд10.00
2024/1/29 19:47,Entertainment,Shizijie,гд30.00
2024/1/29 13:52,Living,Beijing All-in-One Card,гд30.00
2024/1/29 12:18,Shopping,Yigancheng,гд23.00
2024/1/28 13:29,Living,Fangming,гд79.00
2024/1/27 17:13,Shopping,JD,гд19.80
2024/1/27 17:04,Entertainment,Tencent,гд15.00
2024/1/27 16:33,Entertainment,Fengxiang,гд20.00
2024/1/27 16:21,Catering,Meituan,гд79.00
2024/1/27 15:40,Shopping,Morning Glory,гд4.00
2024/1/25 20:29,Shopping,Xingyuan,гд1.60
2024/1/24 13:14,Catering,Xian Mingchi,гд18.00
2024/1/23 18:26,Living,Yitian,гд15.00
2024/1/22 22:30,Living,Jiayin,гд65.00
2024/1/22 22:30,Living,Yihao,гд6.00
2024/1/22 16:42,Shopping,Pang Donglai,гд50.60
2024/1/22 11:22,Shopping,Red date,гд30.00
2024/1/22 9:23,Living,Beijing All-in-One Card,гд10.00
2024/1/20 21:55,Living,Yitian,гд208.00
2024/1/20 17:55,Shopping,JD,гд114.84
2024/1/20 17:54,Shopping,JD,гд31.11
2024/1/19 12:54,Shopping,PDD,гд8.50
2024/1/18 19:40,Living,Yitian,гд0.50
2024/1/18 19:40,Living,Yitian,гд0.15
2024/1/18 19:39,Living,Yitian,гд0.25
2024/1/18 19:38,Living,Yitian,гд61.00
2024/1/17 9:44,Catering,Ancient Law Pie,гд5.00
2024/1/14 18:37,Catering,Meituan,гд17.50
2024/1/14 10:10,Shopping,Dazhong,гд15.00
2024/1/13 19:00,Shopping,JD,гд30.00
2024/1/12 8:41,Catering,Tofu soup,гд7.00
2024/1/11 21:19,Shopping,Aviation restaurant supermarket,гд6.00
2024/1/11 17:31,Shopping,Morning Glory,гд10.00
2024/1/10 10:19,Living,Jiachen,гд18.52
2024/1/10 9:38,Living,CRNET,гд66.00
2024/1/8 20:24,Shopping,PDD,гд6.50
2024/1/7 22:28,Shopping,DMALL,гд12.40
2024/1/7 18:14,Catering,Meituan,гд29.80
2024/1/5 21:28,Living,Jiachen,гд38.00
2024/1/5 15:23,Shopping,DMALL,гд8.90
2024/1/4 10:12,Shopping,Wumart,гд10.00
2024/1/3 18:37,Living,BUPT,гд200.00
2024/1/3 18:31,Catering,BUPT,гд13.00
2024/1/2 18:28,Living,Weizhen,гд2.10
2024/1/2 13:00,Living,Weizhen,гд12.00
2024/1/1 13:31,Living,Zhiwei,гд111.43
2024/1/1 8:31,Income,ICBC,"гд12,000.00"
2024/1/1 1:43,Living,Huanan,гд140.25
2024/1/1 0:55,Entertainment,Red packets,гд2.00
2024/1/1 0:54,Entertainment,Red packets,гд3.00
2024/1/1 0:48,Entertainment,Red packets,гд8.00
2024/1/1 0:46,Entertainment,Red packets,гд10.00
2024/1/1 0:45,Entertainment,Red packets,гд11.00
2024/1/1 0:43,Entertainment,Red packets,гд35.00
