Transaction time,Type,Transaction object,Amount (RMB)
2024/11/30 13:01,Shopping,DMALL,гд9.90
2024/11/29 23:59,Shopping,DMALL,гд7.90
2024/11/29 13:47,Shopping,DMALL,гд3.50
2024/11/29 13:36,Living,Jiachen,гд29.98
2024/11/29 13:35,Living,Jiachen,гд22.00
2024/11/29 13:32,Living,Jiachen,гд196.50
2024/11/28 18:08,Shopping,DMALL,гд20.90
2024/11/28 12:08,Shopping,Fruit shop,гд3.00
2024/11/27 20:02,Shopping,DMALL,гд9.90
2024/11/27 19:19,Catering,BUPT,гд14.00
2024/11/27 12:50,Catering,BUPT,гд14.00
2024/11/27 9:53,Catering,BUPT,гд8.00
2024/11/27 9:50,Catering,BUPT,гд2.00
2024/11/26 17:59,Catering,BUPT,гд2.00
2024/11/26 17:58,Catering,BUPT,гд14.52
2024/11/25 18:28,Catering,BUPT,гд15.00
2024/11/25 13:07,Shopping,DMALL,гд9.90
2024/11/24 13:14,Shopping,DMALL,гд9.90
2024/11/23 13:02,Shopping,Yiyan,гд25.80
2024/11/22 12:39,Shopping,DMALL,гд9.90
2024/11/21 15:40,Catering,Meituan,гд249.77
2024/11/21 13:22,Living,Jiachen,гд42.00
2024/11/21 12:46,Shopping,DMALL,гд24.20
2024/11/20 22:16,Shopping,DMALL,гд5.80
2024/11/20 16:32,Shopping,Hanfeng,гд5.00
2024/11/19 23:35,Shopping,DMALL,гд5.00
2024/11/19 12:18,Living,BUPT,гд200.00
2024/11/19 11:48,Catering,BUPT,гд13.00
2024/11/18 18:10,Catering,BUPT,гд4.00
2024/11/16 23:09,Shopping,DMALL,гд8.50
2024/11/16 12:29,Shopping,DMALL,гд17.90
2024/11/15 12:47,Shopping,Weizhen,гд0.30
2024/11/14 23:43,Living,Gzz,гд31.20
2024/11/14 23:38,Shopping,DMALL,гд6.00
2024/11/13 11:18,Catering,Meituan,гд22.88
2024/11/12 23:25,Shopping,DMALL,гд5.20
2024/11/12 19:52,Shopping,DMALL,гд1.20
2024/11/12 19:38,Catering,BUPT,гд2.00
2024/11/12 18:25,Catering,BUPT,гд12.00
2024/11/10 18:12,Living,BUPT,гд200.00
2024/11/10 18:07,Catering,BUPT,гд18.74
2024/11/9 19:25,Shopping,DMALL,гд10.90
2024/11/9 0:33,Living,Yihui,гд6.00
2024/11/8 23:24,Shopping,DMALL,гд2.90
2024/11/8 17:34,Shopping,DMALL,гд3.80
2024/11/8 12:29,Shopping,DMALL,гд3.50
2024/11/7 19:37,Shopping,Fruit shop,гд4.60
2024/11/7 16:06,Catering,McDonald's,гд13.90
2024/11/7 12:53,Shopping,DMALL,гд1.87
2024/11/5 21:07,Living,Jiachen,гд104.00
2024/11/5 13:20,Shopping,DMALL,гд9.90
2024/11/3 23:25,Shopping,DMALL,гд3.80
2024/11/3 11:48,Catering,BUPT,гд2.00
2024/11/3 11:47,Catering,BUPT,гд14.00
2024/11/2 18:06,Shopping,DMALL,гд3.61
2024/11/2 11:15,Living,BUPT,гд200.00
2024/11/1 18:54,Entertainment,Tencent,гд15.00
2024/11/1 12:45,Living,BUPT,гд30.00
2024/11/1 12:41,Catering,BUPT,гд16.50
2024/11/1 8:40,Income,ICBC,"гд8,000"
