Task,Date,Detail,Amount,Type
Ex-1,2024-01-30 14:56,Yigancheng,19.80,entertainment
Ex-2,2024-01-30 14:34,Meituan,17.40,catering
Ex-3,2024-01-29 21:45,Yitian,43.00,shopping
Ex-4,2024-01-29 20:09,Shizijie,10.00,entertainment
Ex-5,2024-01-29 19:47,Shizijie,30.00,entertainment
Ex-6,2024-01-29 13:52,Beijing All-in-One Card,30.00,living
Ex-7,2024-01-29 12:18,Yigancheng,23.00,entertainment
Ex-8,2024-01-28 13:29,Fangming,79.00,shopping
Ex-9,2024-01-27 17:13,JD,19.80,shopping
Ex-10,2024-01-27 17:04,Tencent,15.00,entertainment
Ex-11,2024-01-27 16:33,Fengxiang,20.00,shopping
Ex-12,2024-01-27 16:21,Meituan,79.00,catering
Ex-13,2024-01-27 15:40,Morning Glory,4.00,living
Ex-14,2024-01-25 20:29,Xingyuan,1.60,living
Ex-15,2024-01-24 13:14,Xian Mingchi,18.00,catering
Ex-16,2024-01-23 18:26,Yitian,15.00,entertainment
Ex-17,2024-01-22 22:30,Jiayin,65.00,income
Ex-18,2024-01-22 22:30,Yihao,6.00,living
Ex-19,2024-01-22 16:42,Pang Donglai,50.60,catering
Ex-20,2024-01-22 11:22,Red date,30.00,shopping
Ex-21,2024-01-20 21:55,Yitian,208.00,income
Ex-22,2024-01-20 17:55,JD,114.84,shopping
Ex-23,2024-01-20 17:54,JD,31.11,shopping
Ex-24,2024-01-19 12:54,PDD,8.50,shopping
Ex-25,2024-01-18 19:40,Yitian,0.50,income
Ex-26,2024-01-18 19:40,Yitian,0.15,income
Ex-27,2024-01-18 19:39,Yitian,0.25,income
Ex-28,2024-01-18 19:38,Yitian,61.00,living
Ex-29,2024-01-14 18:37,Meituan,17.50,catering
Ex-30,2024-01-14 10:10,Dazhong,15.00,entertainment
Ex-31,2024-01-13 19:00,JD,30.00,shopping
Ex-32,2024-01-11 21:19,Aviation restaurant supermarket,6.00,catering
Ex-33,2024-01-11 17:31,Morning Glory,10.00,living
Ex-34,2024-01-10 10:19,Jiachen,18.52,income
Ex-35,2024-01-08 20:24,PDD,6.50,shopping
Ex-36,2024-01-07 22:28,DMALL,12.40,shopping
Ex-37,2024-01-07 18:14,Meituan,29.80,catering
Ex-38,2024-01-05 21:28,Jiachen,38.00,shopping
Ex-39,2024-01-05 15:23,DMALL,8.90,shopping
Ex-40,2024-01-04 10:12,Wumart,10.00,shopping
Ex-41,2024-01-03 18:37,BUPT,200.00,income
Ex-42,2024-01-03 18:31,BUPT,13.00,income
Ex-43,2024-01-02 18:28,Weizhen,2.10,living
Ex-44,2024-01-02 13:00,Weizhen,12.00,living
Ex-45,2024-01-01 13:31,Zhiwei,111.43,entertainment
